央视频道,#genre#
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV1,http://go.061899.xyz/mg/cctv1
CCTV1,http://115.171.216.32:4000/rtp/225.1.8.81:8176
CCTV1,http://115.171.216.32:4000/rtp/225.1.8.33:8002
CCTV1,http://115.171.216.32:4000/rtp/225.1.8.1:8008
CCTV1,http://123.118.58.227:8686/rtp/239.3.1.129:8008
CCTV1,http://221.7.175.154:8445/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://113.90.154.189:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://223.78.65.165:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8
CCTV2,http://go.061899.xyz/mg/cctv2
CCTV2,http://m.061899.xyz/mg/cctv2
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV2,http://114.226.212.190:8787/rtp/239.49.8.130:6000
CCTV2,http://114.226.212.191:8787/rtp/239.49.8.50:9802
CCTV2,http://115.171.216.40:4000/rtp/225.1.8.2:8084
CCTV2,http://114.226.212.190:8787/rtp/239.49.8.50:9802
CCTV2,http://115.171.216.32:4000/rtp/225.1.8.2:8084
CCTV2,http://114.226.212.191:8787/rtp/239.49.8.130:6000
CCTV2,http://123.118.58.227:8686/rtp/239.3.1.60:8084
CCTV3,http://go.061899.xyz/mg/cctv3
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV3,http://112.30.73.119:9901/tsfile/live/0003_2.m3u8?key=txiptv&playlive=0&authid=0#http://58.56.162.102:4466/newlive/live/hls/3/live.m3u8#http://101.66.199.253:9901/tsfile/live/0003_1.m3u8
CCTV3,http://112.30.73.119:9901/tsfile/live/0003_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://115.171.216.32:4000/rtp/225.1.8.88:8000
CCTV3,http://115.171.216.40:4000/rtp/225.1.8.88:8000
CCTV3,http://123.118.58.227:8686/rtp/239.3.1.172:8001
CCTV3,http://221.7.175.154:8445/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
